District,Taluka
Kolhapur,Karvir
Kolhapur,Panhala
Kolhapur,Shahuwadi
Kolhapur,Kagal
Kolhapur,Hatkanangale
Kolhapur,Shirol
Kolhapur,Radhanagari
Kolhapur,Gaganbawada
Kolhapur,Bhudargad
Kolhapur,Gadhinglaj
Kolhapur,Chandgad
Kolhapur,Ajra
Sangli ,Miraj 
Sangli ,Kavathe-Mahankal 
Sangli ,Tasgaon 
Sangli ,Jat 
Sangli ,Walwa (Islampur) 
Sangli ,Shirala 
Sangli ,Khanapur-Vita 
Sangli ,Atpadi 
Sangli ,Palus 
Sangli ,Kadegaon 
Satara,Satara
Satara,Jaoli 
Satara,Koregaon 
Satara,Wai 
Satara,Mahabaleshwar 
Satara,Khandala 
Satara,Phaltan
Satara,Maan (Dahiwadi) 
Satara,Khatav (Vaduj) 
Satara,Patan
Satara,Karad 
Pune,Pune City
Pune,Haveli 
Pune,Khed (Rajgurunagar) 
Pune,Junnar 
Pune,Ambegaon (Ghodegaon)
Pune,Maval (Vadgaon) 
Pune,Mulshi (Paud) 
Pune,Shirur 
Pune,Purandhar (Saswad) 
Pune,Velhe 
Pune,Bhor 
Pune,Baramati 
Pune,Indapur 
Pune,Daund 
Ahmednagar ,Nagar 
Ahmednagar ,Shevgaon 
Ahmednagar ,Pathardi 
Ahmednagar ,Parner 
Ahmednagar ,Sangamner 
Ahmednagar ,Kopargaon 
Ahmednagar ,Akole 
Ahmednagar ,Shrirampur
Ahmednagar ,Nevasa 
Ahmednagar ,Rahata 
Ahmednagar ,Rahuri
Ahmednagar ,Shrigonda 
Ahmednagar ,Karjat 
Ahmednagar ,Jamkhed 
Solapur ,Solapur North
Solapur ,Barshi 
Solapur ,Solapur South
Solapur ,Akkalkot 
Solapur ,Madha 
Solapur ,Karmala 
Solapur ,Pandharpur 
Solapur ,Mohol 
Solapur ,Malshiras 
Solapur ,Sangole 
Solapur ,Mangalvedhe 
Osmanabad,Osmanabad 
Osmanabad,Tuljapur 
Osmanabad,Bhum 
